TICKET;EMPRESA;SETOR;SEGMENTO
HBRE3;HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A;Financeiro;Exploração de Imóveis
HBSA3;HIDROVIAS DO BRASIL S.A.;Bens Industriais;Transporte Hidroviário
HBTS5;CIA HABITASUL DE PARTICIPACOES;Financeiro;Exploração de Imóveis
HETA3;HERCULES S.A. FABRICA DE TALHERES;Consumo Cíclico;Utensílios Domésticos
HETA4;HERCULES S.A. FABRICA DE TALHERES;Consumo Cíclico;Utensílios Domésticos
HOOT4;HOTEIS OTHON S.A.;Consumo Cíclico;Hotelaria
HYPE3;HYPERA S.A.;Saúde;Medicamentos e Outros Produtos
IFCM3;INFRACOMMERCE CXAAS S.A.;Tecnologia da Informação;Programas e Serviços
IGBR3;IGB ELETRÔNICA S/A;Financeiro;Exploração de Imóveis
INEP3;INEPAR S.A. INDUSTRIA E CONSTRUCOES;Bens Industriais;Máq. e Equip. Industriais
INEP4;INEPAR S.A. INDUSTRIA E CONSTRUCOES;Bens Industriais;Máq. e Equip. Industriais
INTB3;INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA;Tecnologia da Informação;Computadores e Equipamentos
IRBR3;IRB - BRASIL RESSEGUROS S.A.;Financeiro;Seguradoras
ITSA3;ITAUSA S.A.;Financeiro;Bancos
ITSA4;ITAUSA S.A.;Financeiro;Bancos
ITUB3;ITAU UNIBANCO HOLDING S.A.;Financeiro;Bancos
ITUB4;ITAU UNIBANCO HOLDING S.A.;Financeiro;Bancos
JALL3;JALLES MACHADO S.A.;Consumo não Cíclico;Açucar e Alcool
JBSS3;JBS S.A.;Consumo não Cíclico;Carnes e Derivados
JFEN3;JOAO FORTES ENGENHARIA S.A.;Consumo Cíclico;Incorporações
JHSF3;JHSF PARTICIPACOES S.A.;Consumo Cíclico;Incorporações
JOPA3;JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;Consumo não Cíclico;Alimentos Diversos
JOPA4;JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;Consumo não Cíclico;Alimentos Diversos
JSLG3;JSL S.A.;Bens Industriais;Transporte Rodoviário
KEPL3;KEPLER WEBER S.A.;Bens Industriais;Máq. e Equip. Industriais
KLBN11;KLABIN S.A.;Materiais Básicos;Papel e Celulose
KLBN3;KLABIN S.A.;Materiais Básicos;Papel e Celulose
KLBN4;KLABIN S.A.;Materiais Básicos;Papel e Celulose
LCAM3;CIA LOCAÇÃO DAS AMÉRICAS;Consumo Cíclico;Aluguel de carros
LEVE3;MAHLE-METAL LEVE S.A.;Consumo Cíclico;Automóveis e Motocicletas
LIGT3;LIGHT S.A.;Utilidade Pública;Energia Elétrica
LIPR3;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Utilidade Pública;Energia Elétrica
LJQQ3;LOJAS QUERO-QUERO S/A;Consumo Cíclico;Produtos Diversos
LLIS3;RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados
LOGG3;LOG COMMERCIAL PROPERTIES;Financeiro;Exploração de Imóveis
LOGN3;LOG-IN LOGISTICA INTERMODAL S.A.;Bens Industriais;Transporte Hidroviário
LPSB3;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Financeiro;Intermediação Imobiliária
LREN3;LOJAS RENNER S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados
LUPA3;LUPATECH S.A.;Petróleo. Gás e Biocombustíveis;Equipamentos e Serviços
LUXM3;TREVISA INVESTIMENTOS S.A.;Bens Industriais;Transporte Hidroviário
LUXM4;TREVISA INVESTIMENTOS S.A.;Bens Industriais;Transporte Hidroviário
LWSA3;LOCAWEB SERVIÇOS DE INTERNET S.A.;Tecnologia da Informação;Programas e Serviços
MAPT3;CEMEPE INVESTIMENTOS S.A.;Outros;Outros
MAPT4;CEMEPE INVESTIMENTOS S.A.;Outros;Outros
MATD3;HOSPITAL MATER DEI S/A;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
MBLY3;Mobly S.A.;Tecnologia da Informação;Programas e Serviços
MDIA3;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Consumo não Cíclico;Alimentos Diversos
MDNE3;MOURA DUBEUX ENGENHARIA S/A;Consumo Cíclico;Incorporações
MEAL3;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;Consumo Cíclico;Restaurante e Similares
MELK3;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;Consumo Cíclico;Incorporações
MERC3;MERCANTIL BRASIL FINANC S.A. C.F.I.;Financeiro;Soc. Crédito e Financiamento
MERC4;MERCANTIL BRASIL FINANC S.A. C.F.I.;Financeiro;Soc. Crédito e Financiamento
MGEL4;MANGELS INDUSTRIAL S.A.;Materiais Básicos;Artefatos de Ferro e Aço
MGLU3;MAGAZINE LUIZA S.A.;Consumo Cíclico;Eletrodomésticos
MILS3;MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.;Bens Industriais;Serviços Diversos
MMXM3;MMX MINERACAO E METALICOS S.A.;Materiais Básicos;Minerais Metálicos
MNDL3;MUNDIAL S.A. - PRODUTOS DE CONSUMO;Consumo Cíclico;Acessórios
MNPR3;MINUPAR PARTICIPACOES S.A.;Consumo não Cíclico;Carnes e Derivados
MOAR3;MONTEIRO ARANHA S.A.;Financeiro;Holdings Diversificadas
MODL11;BANCO MODAL S.A;Financeiro;Bancos
MODL3;BANCO MODAL S.A;Financeiro;Bancos
MODL4;BANCO MODAL S.A;Financeiro;Bancos
MOVI3;MOVIDA PARTICIPACOES SA;Consumo Cíclico;Aluguel de carros
MRFG3;MARFRIG GLOBAL FOODS S.A.;Consumo não Cíclico;Carnes e Derivados
MRSA3B;MRS LOGISTICA S.A.;Bens Industriais;Transporte Ferroviário
MRSA5B;MRS LOGISTICA S.A.;Bens Industriais;Transporte Ferroviário
MRSA6B;MRS LOGISTICA S.A.;Bens Industriais;Transporte Ferroviário
MRVE3;MRV ENGENHARIA E PARTICIPACOES S.A.;Consumo Cíclico;Incorporações
MSPA3;CIA MELHORAMENTOS DE SAO PAULO;Materiais Básicos;Papel e Celulose
MSPA4;CIA MELHORAMENTOS DE SAO PAULO;Materiais Básicos;Papel e Celulose
MTIG3;METALGRAFICA IGUACU S.A.;Materiais Básicos;Embalagens
MTIG4;METALGRAFICA IGUACU S.A.;Materiais Básicos;Embalagens
MTRE3;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Consumo Cíclico;Incorporações
MTSA3;METISA METALURGICA TIMBOENSE S.A.;Bens Industriais;Máq. e Equip. Construção e Agrícolas
MTSA4;METISA METALURGICA TIMBOENSE S.A.;Bens Industriais;Máq. e Equip. Construção e Agrícolas
MULT3;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Financeiro;Exploração de Imóveis
MWET3;WETZEL S.A.;Bens Industriais;Material Rodoviário
MWET4;WETZEL S.A.;Bens Industriais;Material Rodoviário
MYPK3;IOCHPE MAXION S.A.;Consumo Cíclico;Automóveis e Motocicletas
NEOE3;NEOENERGIA S.A.;Utilidade Pública;Energia Elétrica
NGRD3;NEOGRID PARTICIPACOES S.A.;Tecnologia da Informação;Programas e Serviços
NINJ3;GETNINJAS S.A.;Tecnologia da Informação;Programas e Serviços
NORD3;NORDON INDUSTRIAS METALURGICAS S.A.;Bens Industriais;Máq. e Equip. Industriais
NTCO3;NATURA &CO HOLDING S.A.;Consumo não Cíclico;Produtos de Uso Pessoal
NUTR3;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;Materiais Básicos;Fertilizantes e Defensivos
ODER4;CONSERVAS ODERICH S.A.;Consumo não Cíclico;Alimentos Diversos
ODPV3;ODONTOPREV S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
OFSA3;OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.;Saúde;Medicamentos e Outros Produtos
OIBR3;OI S.A.;Comunicações;Telecomunicações
OIBR4;OI S.A.;Comunicações;Telecomunicações
OPCT3;OCEANPACT SERVICOS MARITIMOS S.A.;Petróleo. Gás e Biocombustíveis;Equipamentos e Serviços
ORVR3;ORIZON VALORIZACAO DE RESIDUOS S.A.;Utilidade Pública;água e Saneamento
OSXB3;OSX BRASIL S.A.;Petróleo. Gás e Biocombustíveis;Equipamentos e Serviços
PARD3;INSTITUTO HERMES PARDINI S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
PATI3;PANATLANTICA S.A.;Materiais Básicos;Artefatos de Ferro e Aço
PATI4;PANATLANTICA S.A.;Materiais Básicos;Artefatos de Ferro e Aço
PCAR3;CIA BRASILEIRA DE DISTRIBUICAO;Consumo não Cíclico;Alimentos
PDGR3;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Consumo Cíclico;Incorporações
PDTC3;PADTEC HOLDING S.A.;Financeiro;Serviços Financeiros Diversos
PEAB3;CIA PARTICIPACOES ALIANCA DA BAHIA;Financeiro;Holdings Diversificadas
PEAB4;CIA PARTICIPACOES ALIANCA DA BAHIA;Financeiro;Holdings Diversificadas
PETR3;PETROLEO BRASILEIRO S.A. PETROBRAS;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
PETR4;PETROLEO BRASILEIRO S.A. PETROBRAS;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
PETZ3;PET CENTER COMERCIO E PARTICIPACOES S.A.;Consumo Cíclico;Produtos Diversos
PFRM3;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;Saúde;Medicamentos e Outros Produtos
PINE4;BCO PINE S.A.;Financeiro;Bancos
PLAS3;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;Consumo Cíclico;Automóveis e Motocicletas
PLPL3;PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.;Consumo Cíclico;Incorporações
PMAM3;PARANAPANEMA S.A.;Materiais Básicos;Artefatos de Cobre
PNVL3;DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;Saúde;Medicamentos e Outros Produtos
POMO3;MARCOPOLO S.A.;Bens Industriais;Material Rodoviário
POMO4;MARCOPOLO S.A.;Bens Industriais;Material Rodoviário
POSI3;POSITIVO TECNOLOGIA S.A.;Tecnologia da Informação;Computadores e Equipamentos
PPLA11;PPLA PARTICIPATIONS LTD.;Financeiro;Gestão de Recursos e Investimentos
PRIO3;PETRO RIO S.A.;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
PRNR3;PRINER SERVIÇOS INDUSTRIAIS S.A.;Bens Industriais;Serviços Diversos
PSSA3;PORTO SEGURO S.A.;Financeiro;Seguradoras
PTBL3;PBG S/A;Bens Industriais;Produtos para Construção
PTNT3;PETTENATI S.A. INDUSTRIA TEXTIL;Consumo Cíclico;Fios e Tecidos
PTNT4;PETTENATI S.A. INDUSTRIA TEXTIL;Consumo Cíclico;Fios e Tecidos
QUAL3;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
RADL3;RAIA DROGASIL S.A.;Saúde;Medicamentos e Outros Produtos
RAIL3;RUMO S.A.;Bens Industriais;Transporte Ferroviário
RANI3;IRANI PAPEL E EMBALAGEM S.A.;Materiais Básicos;Papel e Celulose
RAPT3;RANDON S.A. IMPLEMENTOS E PARTICIPACOES;Bens Industriais;Material Rodoviário
RAPT4;RANDON S.A. IMPLEMENTOS E PARTICIPACOES;Bens Industriais;Material Rodoviário
RCSL3;RECRUSUL S.A.;Bens Industriais;Material Rodoviário
RCSL4;RECRUSUL S.A.;Bens Industriais;Material Rodoviário
RDNI3;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;Consumo Cíclico;Incorporações
RDOR3;Rede DOr São Luiz S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
RECV3;PETRORECÔNCAVO S.A.;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
REDE3;REDE ENERGIA PARTICIPAÇÕES S.A.;Utilidade Pública;Energia Elétrica
RENT3;LOCALIZA RENT A CAR S.A.;Consumo Cíclico;Aluguel de carros
RNEW11;RENOVA ENERGIA S.A.;Utilidade Pública;Energia Elétrica
RNEW3;RENOVA ENERGIA S.A.;Utilidade Pública;Energia Elétrica
RNEW4;RENOVA ENERGIA S.A.;Utilidade Pública;Energia Elétrica
ROMI3;INDUSTRIAS ROMI S.A.;Bens Industriais;Máq. e Equip. Industriais
RPAD3;ALFA HOLDINGS S.A.;Financeiro;Bancos
RPAD5;ALFA HOLDINGS S.A.;Financeiro;Bancos
RPAD6;ALFA HOLDINGS S.A.;Financeiro;Bancos
RPMG3;REFINARIA DE PETROLEOS MANGUINHOS S.A.;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
RRRP3;3R PETROLEUM ÓLEO E GÁS S.A;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
RSID3;ROSSI RESIDENCIAL S.A.;Consumo Cíclico;Incorporações
RSUL4;METALURGICA RIOSULENSE S.A.;Bens Industriais;Material Rodoviário
SANB11;BCO SANTANDER (BRASIL) S.A.;Financeiro;Bancos
SANB3;BCO SANTANDER (BRASIL) S.A.;Financeiro;Bancos
SANB4;BCO SANTANDER (BRASIL) S.A.;Financeiro;Bancos
SAPR11;CIA SANEAMENTO DO PARANA - SANEPAR;Utilidade Pública;água e Saneamento
SAPR3;CIA SANEAMENTO DO PARANA - SANEPAR;Utilidade Pública;água e Saneamento
SAPR4;CIA SANEAMENTO DO PARANA - SANEPAR;Utilidade Pública;água e Saneamento
SBFG3;GRUPO SBF SA;Consumo Cíclico;Produtos Diversos
SBSP3;CIA SANEAMENTO BASICO EST SAO PAULO;Utilidade Pública;água e Saneamento
SCAR3;SAO CARLOS EMPREEND E PARTICIPACOES S.A.;Financeiro;Exploração de Imóveis
SEER3;SER EDUCACIONAL S.A.;Consumo Cíclico;Serviços Educacionais
SEQL3;SEQUOIA LOGISTICA E TRANSPORTES S.A;Bens Industriais;Serviços Diversos
SGPS3;SPRINGS GLOBAL PARTICIPACOES S.A.;Consumo Cíclico;Fios e Tecidos
SHOW3;T4F ENTRETENIMENTO S.A.;Consumo Cíclico;Produção de Eventos e Shows
SHUL3;SCHULZ S.A.;Bens Industriais;Motores . Compressores e Outros
SHUL4;SCHULZ S.A.;Bens Industriais;Motores . Compressores e Outros
SIMH3;SIMPAR S.A.;Financeiro;Holdings Diversificadas
SLCE3;SLC AGRICOLA S.A.;Consumo não Cíclico;Agricultura
SLED3;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;Consumo Cíclico;Produtos Diversos
SLED4;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;Consumo Cíclico;Produtos Diversos
SMFT3;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Consumo Cíclico;Atividades Esportivas
SMTO3;SAO MARTINHO S.A.;Consumo não Cíclico;Açucar e Alcool
SNSY3;SANSUY S.A. INDUSTRIA DE PLASTICOS;Materiais Básicos;Materiais Diversos
SNSY5;SANSUY S.A. INDUSTRIA DE PLASTICOS;Materiais Básicos;Materiais Diversos
SNSY6;SANSUY S.A. INDUSTRIA DE PLASTICOS;Materiais Básicos;Materiais Diversos
SOJA3;BOA SAFRA SEMENTES S.A.;Consumo não Cíclico;Agricultura
SOMA3;GRUPO DE MODA SOMA S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados
SOND3;SONDOTECNICA ENGENHARIA SOLOS S.A.;Bens Industriais;Engenharia Consultiva
SOND5;SONDOTECNICA ENGENHARIA SOLOS S.A.;Bens Industriais;Engenharia Consultiva
SOND6;SONDOTECNICA ENGENHARIA SOLOS S.A.;Bens Industriais;Engenharia Consultiva
SQIA3;SINQIA S.A.;Tecnologia da Informação;Programas e Serviços
STBP3;SANTOS BRASIL PARTICIPACOES S.A.;Bens Industriais;Serviços de Apoio e Armazenagem
SULA11;SUL AMERICA S.A.;Financeiro;Seguradoras
SULA3;SUL AMERICA S.A.;Financeiro;Seguradoras
SULA4;SUL AMERICA S.A.;Financeiro;Seguradoras
SUZB3;SUZANO S.A.;Materiais Básicos;Papel e Celulose
TAEE11;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Utilidade Pública;Energia Elétrica
TAEE3;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Utilidade Pública;Energia Elétrica
TAEE4;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Utilidade Pública;Energia Elétrica
TASA3;TAURUS ARMAS S.A.;Bens Industriais;Armas e Munições
TASA4;TAURUS ARMAS S.A.;Bens Industriais;Armas e Munições
TCNO3;TECNOSOLO ENGENHARIA S.A.;Bens Industriais;Engenharia Consultiva
TCNO4;TECNOSOLO ENGENHARIA S.A.;Bens Industriais;Engenharia Consultiva
TCSA3;TECNISA S.A.;Consumo Cíclico;Incorporações
TECN3;TECHNOS S.A.;Consumo Cíclico;Acessórios
TEKA3;TEKA-TECELAGEM KUEHNRICH S.A.;Consumo Cíclico;Fios e Tecidos
TEKA4;TEKA-TECELAGEM KUEHNRICH S.A.;Consumo Cíclico;Fios e Tecidos
TELB3;TELEC BRASILEIRAS S.A. TELEBRAS;Comunicações;Telecomunicações
TELB4;TELEC BRASILEIRAS S.A. TELEBRAS;Comunicações;Telecomunicações
TEND3;CONSTRUTORA TENDA S.A.;Consumo Cíclico;Incorporações
TFCO4;TRACK & FIELD CO S.A.;Consumo Cíclico;Vestuário
TGMA3;TEGMA GESTAO LOGISTICA S.A.;Bens Industriais;Transporte Rodoviário
TIMS3;TIM S.A.;Comunicações;Telecomunicações
TKNO4;TEKNO S.A. - INDUSTRIA E COMERCIO;Materiais Básicos;Artefatos de Ferro e Aço
TOTS3;TOTVS S.A.;Tecnologia da Informação;Programas e Serviços
TPIS3;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Bens Industriais;Exploração de Rodovias
TRIS3;TRISUL S.A.;Consumo Cíclico;Incorporações
TRPL3;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Utilidade Pública;Energia Elétrica
TRPL4;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Utilidade Pública;Energia Elétrica
TTEN3;TRÊS TENTOS AGROINDUSTRIAL S/A;Consumo não Cíclico;Agricultura
TUPY3;TUPY S.A.;Bens Industriais;Material Rodoviário
TXRX3;TEXTIL RENAUXVIEW S.A.;Consumo Cíclico;Fios e Tecidos
TXRX4;TEXTIL RENAUXVIEW S.A.;Consumo Cíclico;Fios e Tecidos
UCAS3;UNICASA INDÚSTRIA DE MÓVEIS S.A.;Consumo Cíclico;Móveis
UGPA3;ULTRAPAR PARTICIPACOES S.A.;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
UNIP3;UNIPAR CARBOCLORO S.A.;Materiais Básicos;Químicos Diversos
UNIP5;UNIPAR CARBOCLORO S.A.;Materiais Básicos;Químicos Diversos
UNIP6;UNIPAR CARBOCLORO S.A.;Materiais Básicos;Químicos Diversos
USIM3;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Materiais Básicos;Siderurgia
USIM5;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Materiais Básicos;Siderurgia
USIM6;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Materiais Básicos;Siderurgia
VALE3;VALE S.A.;Materiais Básicos;Minerais Metálicos
VAMO3;VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.;Consumo Cíclico;Aluguel de carros
VIIA3;VIA VAREJO S.A.;Consumo Cíclico;Eletrodomésticos
VIVA3;VIVARA PARTICIPAÇOES S.A;Consumo Cíclico;Acessórios
VIVR3;VIVER INCORPORADORA E CONSTRUTORA S.A.;Consumo Cíclico;Incorporações
VIVT3;TELEFÔNICA BRASIL S.A;Comunicações;Telecomunicações
VLID3;VALID SOLUÇÕES S.A.;Bens Industriais;Serviços Diversos
VULC3;VULCABRAS S.A.;Consumo Cíclico;Calçados
WEGE3;WEG S.A.;Bens Industriais;Motores . Compressores e Outros
WEST3;WESTWING COMERCIO VAREJISTA S.A.;Tecnologia da Informação;Programas e Serviços
WHRL3;WHIRLPOOL S.A.;Consumo Cíclico;Eletrodomésticos
WHRL4;WHIRLPOOL S.A.;Consumo Cíclico;Eletrodomésticos
WIZS3;WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.;Financeiro;Corretoras de Seguros
WLMM3;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;Bens Industriais;Material de Transporte
WLMM4;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;Bens Industriais;Material de Transporte
YDUQ3;YDUQS PARTICIPACOES S.A.;Consumo Cíclico;Serviços Educacionais
